window,method,F1,n,scenario
5,WV-static,0.838,648,sudden|5src|title
5,TF-Vote-NoDecay,0.838,648,sudden|5src|title
5,TF-Vote-Decay-3.0,0.838,648,sudden|5src|title
6,WV-static,0.8554,657,sudden|5src|title
6,TF-Vote-NoDecay,0.86,657,sudden|5src|title
6,TF-Vote-Decay-3.0,0.8569,657,sudden|5src|title
7,WV-static,0.8517,661,sudden|5src|title
7,TF-Vote-NoDecay,0.8578,661,sudden|5src|title
7,TF-Vote-Decay-3.0,0.8563,661,sudden|5src|title
8,WV-static,0.8669,661,sudden|5src|title
8,TF-Vote-NoDecay,0.8775,661,sudden|5src|title
8,TF-Vote-Decay-3.0,0.8714,661,sudden|5src|title
1,WV-static,0.7396,338,sudden|5src|brand+title
1,TF-Vote-NoDecay,0.7396,338,sudden|5src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,sudden|5src|brand+title
2,WV-static,0.7902,491,sudden|5src|brand+title
2,TF-Vote-NoDecay,0.7862,491,sudden|5src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,sudden|5src|brand+title
3,WV-static,0.8155,580,sudden|5src|brand+title
3,TF-Vote-NoDecay,0.8155,580,sudden|5src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,sudden|5src|brand+title
4,WV-static,0.7647,629,sudden|5src|brand+title
4,TF-Vote-NoDecay,0.7647,629,sudden|5src|brand+title
4,TF-Vote-Decay-3.0,0.7599,629,sudden|5src|brand+title
5,WV-static,0.7361,648,sudden|5src|brand+title
5,TF-Vote-NoDecay,0.7361,648,sudden|5src|brand+title
5,TF-Vote-Decay-3.0,0.7377,648,sudden|5src|brand+title
6,WV-static,0.7123,657,sudden|5src|brand+title
6,TF-Vote-NoDecay,0.7275,657,sudden|5src|brand+title
6,TF-Vote-Decay-3.0,0.7519,657,sudden|5src|brand+title
7,WV-static,0.6989,661,sudden|5src|brand+title
7,TF-Vote-NoDecay,0.7368,661,sudden|5src|brand+title
