budget,seed,method,F1,EM,mean_n_eff
100,9,TupleFuse-Vote-Mean,0.9805128205128205,0.9661016949152542,14.44
100,9,TupleFuse-Vote-LCB,0.9869230769230769,0.9774011299435028,14.44
100,9,TupleFuse-Vote-LCB-Decay,0.9804524886877828,0.9774011299435028,14.44
200,0,Weighted-Voting-Global,0.9769909502262443,0.9717514124293786,29.49019607843137
200,0,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,29.49019607843137
200,0,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,29.49019607843137
200,0,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,29.49019607843137
200,0,TupleFuse-Vote-LCB-Decay,0.9966666666666667,0.9943502824858758,29.49019607843137
200,1,Weighted-Voting-Global,0.9771191553544495,0.9717514124293786,29.372549019607842
200,1,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,29.372549019607842
200,1,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,29.372549019607842
200,1,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,29.372549019607842
200,1,TupleFuse-Vote-LCB-Decay,0.9966666666666667,0.9943502824858758,29.372549019607842
200,2,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,28.333333333333332
200,2,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,28.333333333333332
200,2,TupleFuse-Vote-Mean,0.9737858220211161,0.9661016949152542,28.333333333333332
200,2,TupleFuse-Vote-LCB,0.9835897435897435,0.9717514124293786,28.333333333333332
200,2,TupleFuse-Vote-LCB-Decay,0.9901282051282051,0.9830508474576272,28.333333333333332
200,3,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,29.49019607843137
200,3,Weighted-Voting-Field,0.9803846153846153,0.9661016949152542,29.49019607843137
200,3,TupleFuse-Vote-Mean,0.9705806938159879,0.96045197740113,29.49019607843137
200,3,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,29.49019607843137
200,3,TupleFuse-Vote-LCB-Decay,0.9901282051282051,0.9830508474576272,29.49019607843137
200,4,Weighted-Voting-Global,0.9769909502262443,0.9717514124293786,27.941176470588236
200,4,Weighted-Voting-Field,0.9867948717948719,0.9774011299435028,27.941176470588236
200,4,TupleFuse-Vote-Mean,0.9769909502262443,0.9717514124293786,27.941176470588236
200,4,TupleFuse-Vote-LCB,0.9899999999999999,0.9830508474576272,27.941176470588236
