window,method,bad_mean_trust,scenario
4,TF-Vote-Decay-3.0,0.6187,sudden|5src|title
5,TF-Vote-NoDecay,0.7667,sudden|5src|title
5,TF-Vote-Decay-3.0,0.6218,sudden|5src|title
6,TF-Vote-NoDecay,0.749,sudden|5src|title
6,TF-Vote-Decay-3.0,0.6255,sudden|5src|title
7,TF-Vote-NoDecay,0.7352,sudden|5src|title
7,TF-Vote-Decay-3.0,0.63,sudden|5src|title
8,TF-Vote-NoDecay,0.7225,sudden|5src|title
8,TF-Vote-Decay-3.0,0.631,sudden|5src|title
2,TF-Vote-NoDecay,0.7301,sudden|5src|brand+title
2,TF-Vote-Decay-3.0,0.5598,sudden|5src|brand+title
3,TF-Vote-NoDecay,0.7717,sudden|5src|brand+title
3,TF-Vote-Decay-3.0,0.5951,sudden|5src|brand+title
4,TF-Vote-NoDecay,0.7832,sudden|5src|brand+title
4,TF-Vote-Decay-3.0,0.6187,sudden|5src|brand+title
5,TF-Vote-NoDecay,0.7372,sudden|5src|brand+title
5,TF-Vote-Decay-3.0,0.5843,sudden|5src|brand+title
6,TF-Vote-NoDecay,0.6877,sudden|5src|brand+title
6,TF-Vote-Decay-3.0,0.557,sudden|5src|brand+title
7,TF-Vote-NoDecay,0.646,sudden|5src|brand+title
7,TF-Vote-Decay-3.0,0.5366,sudden|5src|brand+title
8,TF-Vote-NoDecay,0.6101,sudden|5src|brand+title
8,TF-Vote-Decay-3.0,0.5183,sudden|5src|brand+title
2,TF-Vote-NoDecay,0.7623,gradual|2src|brand
2,TF-Vote-Decay-3.0,0.58,gradual|2src|brand
3,TF-Vote-NoDecay,0.7735,gradual|2src|brand
3,TF-Vote-Decay-3.0,0.612,gradual|2src|brand
4,TF-Vote-NoDecay,0.7917,gradual|2src|brand
4,TF-Vote-Decay-3.0,0.6456,gradual|2src|brand
5,TF-Vote-NoDecay,0.7927,gradual|2src|brand
5,TF-Vote-Decay-3.0,0.6548,gradual|2src|brand
